CONTROL,REASON_NOTAVAIL,OWN,LASTRENT,VAC_LENGTH,ASKINGRENT,I_ASKINGRENT,FW,FW1,FW2,FW3,FW4,FW5,FW6,FW7,FW8,FW9,FW10,FW11,FW12,FW13,FW14,FW15,FW16,FW17,FW18,FW19,FW20,FW21,FW22,FW23,FW24,FW25,FW26,FW27,FW28,FW29,FW30,FW31,FW32,FW33,FW34,FW35,FW36,FW37,FW38,FW39,FW40,FW41,FW42,FW43,FW44,FW45,FW46,FW47,FW48,FW49,FW50,FW51,FW52,FW53,FW54,FW55,FW56,FW57,FW58,FW59,FW60,FW61,FW62,FW63,FW64,FW65,FW66,FW67,FW68,FW69,FW70,FW71,FW72,FW73,FW74,FW75,FW76,FW77,FW78,FW79,FW80
12130040,5,1,-2,6,-2,0,440.46227601,440.46227601,730.35585489,454.4482648,128.36892176,742.73168729,130.79573895,452.54665287,433.69556272,432.22824521,461.67684899,437.29486325,713.84307374,138.51377654,441.06488571,763.0912386,430.37344965,448.19799451,431.74335071,127.13860416,443.96688562,755.28412432,454.4840116,420.75028853,132.2013476,767.5260177,128.46216981,731.69749178,129.8700995,801.44196896,122.79767434,738.345607,133.81005409,447.30607158,421.63242497,751.10480058,439.68139042,128.46368484,458.79707557,442.93528502,442.91947359,754.54254626,440.18746048,126.72973616,749.30512072,459.21217882,432.68554729,442.44879325,460.38013166,423.95161732,138.12798964,705.8313808,131.23846627,439.39970136,750.27200178,128.95147261,737.72505159,430.29808243,446.42797785,458.64532184,131.89103067,443.41666189,778.07927919,453.85737166,122.18702628,774.4235834,425.60870006,472.97747227,127.79746997,460.08534371,710.21924976,129.26546565,450.71397531,738.0039221,447.73500901,122.9327287,459.21615326,429.59952467,443.31584389,790.67604689,131.45540944
12130082,3,1,-2,-1,-2,0,370.47346796,370.47346796,375.47985015,368.2700023,380.37923912,107.14423082,379.5527492,659.80225686,366.59087941,104.89904499,656.49743131,372.36135211,366.2390656,107.02370281,373.39071893,667.17457607,104.18210691,380.22407406,645.69759888,371.39394292,106.6173083,375.35924809,369.91971682,379.56762244,646.05378688,108.60060106,644.46963065,372.10148632,101.92242105,671.91041502,101.56229816,376.81444231,373.19696246,391.03850324,351.57824851,385.16990354,643.84535261,109.22059548,381.00010124,638.78280301,376.62855299,360.33642225,386.9590673,108.4194927,367.74231394,650.52497856,376.23839579,373.74790078,107.45158945,652.25944796,101.95705414,676.53109832,105.61175027,663.59658508,102.9016424,646.76785742,109.41942176,374.36255491,371.37359718,669.17365018,355.49054698,111.16435961,369.8373513,370.05665692,380.38456356,643.77385195,373.14873978,106.94330527,668.43708522,375.9904671,360.2014484,387.38433065,368.42147878,371.23982789,107.91336594,646.78568962,107.04729672,378.51397234,642.62388364,108.22503998,644.60703292
12130087,5,-1,-2,6,-2,0,362.78173393,362.78173393,658.76698294,360.34091653,623.82004606,105.296366,594.59719376,366.89352411,647.6495914,106.77770749,356.52088321,375.91850483,602.07900589,369.18689893,357.70580082,105.73961109,374.39212865,589.80527359,104.02411804,114.59970882,100.86224715,110.51997498,358.94011797,329.75827764,355.63505068,368.1291294,638.72674113,658.70579421,347.46707788,679.01072828,348.87680132,109.12237033,350.97438862,103.55841043,376.25700743,639.02747858,104.06657711,361.18461018,580.71112548,405.17092801,376.90082657,98.059118274,376.63531333,587.99267181,369.21196786,381.65124642,618.47948966,360.49065622,349.30779416,361.76807118,352.10262699,662.79073884,360.0640556,108.12881583,625.14449899,380.01374888,103.22576051,342.57693084,112.97414546,349.36185487,652.14292395,363.61484756,631.00021147,645.5647449,331.72737265,372.99449552,367.32914396,352.03240968,104.23672612,101.92528175,107.20333865,108.66054274,624.15737883,375.79619471,106.16273936,357.56999846,354.8045755,616.43592986,350.82698417,357.65554884,108.21355342
12130164,2,-2,-2,-2,-2,0,435.61081562,435.61081562,425.40522958,130.28159885,409.96497592,443.7886624,757.98852091,429.21157098,417.27776898,133.35177822,692.21852911,466.13207692,722.82935306,126.70792491,744.64220379,451.14824325,687.21684938,143.36105154,426.50866221,406.97326933,745.15266878,462.17049806,443.52281287,122.40590876,423.24523298,778.08012191,120.27199473,133.04526994,124.90610468,132.38753535,404.16657843,455.31915018,410.68517307,459.23397041,739.59636183,744.64187092,422.44960849,786.9249919,423.99855373,128.73436001,443.34852332,125.87506297,429.47195912,741.89111704,129.80087961,422.96031317,740.08983858,443.06768195,429.93446087,128.00586026,418.34022795,755.42949072,442.51187763,422.42072155,752.8288619,412.40957055,471.40286904,420.6868896,466.22852641,767.86514202,391.34021219,133.58665136,733.11918656,449.6562638,116.7253662,439.53437199,131.45029869,420.73556798,731.75371893,456.36401963,757.70392043,691.73785456,437.67124742,440.06475507,435.09836644,438.37603761,124.5616003,134.62303357,123.36098355,130.46431655,744.61217752
12130235,5,-2,-2,6,-2,0,168.58512793,168.58512793,285.34841807,165.39193888,50.034121284,168.61133437,170.22847766,173.99629601,286.48434751,161.37105069,49.956547298,290.26813235,172.48172256,162.65628078,172.28405558,170.20816796,169.66429898,51.242105236,275.69286224,50.627390716,169.37361146,285.4515562,47.878899862,285.54953692,162.52006402,176.51934319,162.15654537,47.566089439,169.18561093,286.83661255,172.31939217,48.170718849,291.08318716,166.58744903,173.7603117,49.727935689,172.22524865,277.28089308,49.832712982,172.96318653,285.12016228,161.31429239,51.311968678,163.98173538,173.03549744,172.7180834,278.54771049,50.335421679,285.16770238,164.91668955,50.527187791,282.69105497,48.661629997,166.60073856,166.3054778,175.33670005,167.67517402,170.39043438,285.18849314,51.101765258,168.72383551,288.58286965,165.18827237,170.30130752,169.53272551,46.913340041,164.62162625,302.44467703,165.053697,166.3976294,50.954872707,295.62076424,48.967959554,286.15042653,48.832526386,287.49803822,50.732170022,279.73587831,50.880648265,161.52606043,172.0499764
12130245,3,-2,-2,1,-2,0,439.32186618,439.32186618,439.82346237,742.45651037,124.61103637,448.43410656,731.2448471,438.47342799,431.95092367,133.8675759,418.80446996,772.05101765,433.25678385,427.7831387,746.06190287,463.18956418,409.681215,497.01980529,420.91315412,713.05008398,432.34391437,129.3844541,782.72359917,422.29981194,124.39283429,458.62000249,122.3903004,451.77476465,747.28298504,454.6776048,695.6392332,800.50791794,419.94575624,439.66039602,452.66671542,430.14030998,126.71835031,133.80273804,126.04660138,126.39704396,775.04702489,450.06884273,121.85865233,434.91669653,456.97416814,740.17997761,436.44454458,439.48783705,126.83592403,758.39991928,432.59737863,735.52093002,131.61139138,710.19558649,462.2303348,695.75553021,141.56159634,414.58326249,476.54164263,761.1395601,420.89379846,436.79527583,129.70145508,447.51954794,702.55848963,128.15031515,135.23229713,120.21403618,129.61198081,440.71006805,478.60838003,398.10364069,433.23139728,771.68973168,749.48633349,444.19343742,747.36600478,451.93048458,126.17792617,454.51028172,128.23221355
12130259,1,1,-2,-1,-2,0,306.55661745,306.55661745,298.86165176,529.48650353,88.872507293,307.59084793,535.61451244,305.7442006,86.417888044,312.62456873,308.23069125,296.78447358,541.77272659,89.006531094,529.18774594,321.74092745,84.259292029,546.40057837,89.846875551,305.58132421,300.49152831,320.20349965,299.5712311,312.91475448,506.79402973,91.489361904,304.82988438,502.70065622,306.24418429,316.5774079,296.13720613,92.143301849,303.05114958,534.10086222,304.17644951,311.81905727,86.089897036,544.92698979,89.291238494,513.69825211,92.429473942,499.03753068,90.825819389,528.8593354,89.784309028,303.79652044,309.73752157,551.03045806,295.77211201,89.969099886,309.54624778,313.99827218,313.6335179,515.05223272,304.89992348,85.254539051,554.04658754,303.717667,317.04203874,296.13569592,314.32453873,296.95718967,94.364139201,491.66361396,94.167787483,291.24706231,537.54510609,86.171062767,521.81575978,307.80928462,318.39304662,305.76105678,88.155092553,318.8076332,508.82468373,306.64775205,93.233372567,532.17979664,295.25614239,310.26023536,91.37250864
12130300,-1,-1,-2,-1,-2,0,379.95222944,379.95222944,373.56956047,111.02837747,366.52785713,644.41479161,378.1005596,642.43346809,674.17510802,366.9825706,422.58811937,369.82502447,383.43815183,116.63674165,110.21487081,111.03028568,111.722118,623.55177198,392.63810916,112.42884511,362.37478035,370.65527552,657.69398143,384.83492608,384.55560585,109.60335999,664.84372157,379.30544346,653.60311824,108.20560188,686.76314606,368.60000011,680.91435573,108.81596245,380.25073124,400.86967657,635.80419416,364.48395217,414.37394377,106.42868817,369.99797105,654.79637493,104.71527032,116.45968856,117.27867817,113.73258972,367.47613973,401.8127863,385.20560542,386.4223742,670.64447456,613.94971382,371.93246621,628.18968545,385.31580151,103.69799714,381.2613813,114.22008678,364.14000415,657.48831582,116.31772389,384.50364568,641.8612571,378.65645032,369.04474449,116.62502723,381.24397572,675.18509916,374.28332093,395.30173166,617.15882666,374.73170074,385.83655857,379.90817736,384.91918104,628.19282777,389.78981817,115.34876612,626.21240053,369.38725084,115.71328618
12130323,2,-2,-2,-2,-2,0,356.09214256,356.09214256,373.75217433,350.48418408,378.75464152,338.98049214,108.09103743,643.7889297,104.8341348,337.79883549,631.73133396,107.90428383,602.20629643,338.75755457,371.94997433,375.45349345,100.7615354,357.36826688,612.89336427,354.36554397,103.21455462,598.98691339,359.92536678,365.1543832,109.93718347,344.07134572,643.25362898,102.68012219,333.90921078,662.43285752,335.05988181,101.50914704,364.28038177,362.50988609,354.17895186,623.17001813,108.30858902,606.05795947,366.3637213,106.40313265,598.74802406,106.17933974,363.41685159,346.74362766,366.95295074,369.70960298,356.20861037,618.77952459,101.35209958,376.62294876,606.69664318,361.45052055,340.34258025,363.99651366,103.94472347,366.8835583,604.91718782,355.60110799,354.25879998,109.48436318,601.10681957,102.19709855,614.95275318,103.60740563,627.26739532,109.64306006,615.59459499,104.30902917,369.13305424,350.1657852,622.53933159,373.7063028,103.07376425,347.22035727,362.412894,364.93161774,601.43601066,348.02188441,106.97818758,609.38187124,356.96032839
12130335,2,-2,-2,-2,-2,0,378.15045061,378.15045061,385.9001167,645.71098185,111.36607926,385.69793038,628.09421369,390.47188434,382.99367434,106.54959372,382.88559533,629.05349918,369.55715328,398.24105603,677.88240924,384.53146556,385.59398378,370.74223367,371.41921317,682.59947372,369.20742733,107.86874969,596.32756045,401.95666668,108.42047205,394.38672894,108.06948596,381.29620825,598.43621047,419.72339435,620.07891103,632.43071706,383.39577631,386.46572244,379.30763666,368.35963073,114.14347132,111.60277634,112.94518859,116.62422094,626.57882179,366.61906821,114.52347406,379.311859,393.77981667,647.31499557,369.82353219,384.87692088,105.93039,702.82114843,370.74253696,607.62062236,108.50694995,597.07018906,408.17267027,647.21162707,112.80449232,371.34984413,374.0825025,689.64676344,381.78007966,380.83789433,107.22919605,379.91701995,637.81689749,115.12343628,104.71741322,118.20289864,110.42882864,355.23411831,397.95926163,391.42773629,382.81463653,595.4700911,644.41237736,393.61128485,669.13787634,368.1924525,106.38034122,398.87287959,109.27782133
